CityName,TouristSpot,Description,Images,Maps,Hotels,Attractions,Meals,,,
Egypt,Pyramids Of Giza,"
The last surviving of the Seven Wonders of the Ancient World, the Pyramids of Giza are one of the world's most recognizable landmarks. Built as tombs for the mighty Pharaohs and guarded by the enigmatic Sphinx, Giza's pyramid complex has awed travelers down through the ages and had archaeologists (and a fair few conspiracy theorists) scratching their heads over how they were built for centuries.Today, these megalithic memorials to dead kings are still as wondrous a sight as they ever were. An undeniable highlight of any Egypt trip, Giza's pyramids should not be missed.","['//upload.wikimedia.org/wikipedia/commons/thumb/9/96/Pyramids_of_the_Giza_Necropolis.jpg/600px-Pyramids_of_the_Giza_Necropolis.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/c/c5/PyramidsofGiza_at_night.jpg/620px-PyramidsofGiza_at_night.jpg','//upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Kheops-Pyramid.jpg/600px-Kheops-Pyramid.jpg','//www.sciencealert.com/images/2018-02/processed/14802850772_8c75dc5d08_k_1024.jpg']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3456.006803221951!2d31.13201321445724!3d29.979234481906097!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x14584587ac8f291b%3A0x810c2f3fa2a52424!2sThe%20Great%20Pyramid%20of%20Giza!5e0!3m2!1sen!2sin!4v1601553547287!5m2!1sen!2sin,"['Marriott Mena House, Cairo', 'Pyramids View Inn', 'Great Pyramid Inn', 'egypt pyramids inn', 'H10 Pyramids View']","['The Great Pyramid of Giza', 'Great Sphinx of Giza', 'Pyramid of Khafre', 'The Great Pyramid of Giza', 'Khufu Ship']","['Restaurant Pyramids', '???? ????? ???? ?????', 'The Great Pyramid of Giza', 'Giza Necropolis', 'Marriott Mena House, Cairo']",,,io
Egypt,Luxor's Karnak Temple And The Valley Of The Kings,"
Famed for the Valley of the Kings, Karnak Temple, and the Memorial Temple of Hatshepsut, the Nile-side town of Luxor in Upper Egypt has a glut of tourist attractions. This is ancient Thebes, power base of the New Kingdom pharaohs, and home to more sights than most can see on one visit. While the East Bank brims with vibrant souk action, the quieter West Bank is home to a bundle of tombs and temples that has been called the biggest open-air museum in the world. Spend a few days here exploring the colorful wall art of the tombs and gazing in awe at the colossal columns in the temples, and you'll see why Luxor continues to fascinate historians and archaeologists.","['//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Luxor-Tempel_Pylon_08.jpg/620px-Luxor-Tempel_Pylon_08.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Abu_el-Haggag_R01.jpg/600px-Abu_el-Haggag_R01.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/0/09/Luxor%2C_Luxor_Temple%2C_sphinx_alley_at_night%2C_Egypt%2C_Oct_2004.jpg/620px-Luxor%2C_Luxor_Temple%2C_sphinx_alley_at_night%2C_Egypt%2C_Oct_2004.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Egypt.LuxorTemple.02.jpg/690px-Egypt.LuxorTemple.02.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/d/db/Egypt.LuxorTemple.04.jpg/690px-Egypt.LuxorTemple.04.jpg','//upload.wikimedia.org/wikipedia/commons/thumb/0/03/Karnak-Hypostyle3.jpg/620px-Karnak-Hypostyle3.jpg','//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Karnakpanorama.jpg/1000px-Karnakpanorama.jpg','//upload.wikimedia.org/wikipedia/commons/b/b8/Valley_of_the_Kings_panorama.jpg']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3594.564645728521!2d32.65508161433739!3d25.718834583656246!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x1449159228fec0cd%3A0xc71ae8c008c259d8!2sKarnak!5e0!3m2!1sen!2sin!4v1601553680321!5m2!1sen!2sin,"['Queens Valley Hotel & Restaurant', 'Hilton Luxor Resort & Spa', 'Sofitel Winter Palace Luxor']","['Luxor Temple', 'Mortuary Temple of Hatshepsut', 'Karnak']",['Karnak'],,,
Egypt,Islamic Cairo,"
The atmospheric, narrow lanes of the capital's Islamic Cairo district are crammed full of mosques, madrassas (Islamic schools of learning), and monuments dating from the Fatimid through to the Mameluke eras. This is where you'll find the labyrinth shopping souk of Khan el-Khalili, where coppersmiths and artisans still have their tiny workshops, and stalls are laden with ceramics, textiles, spice, and perfume. Surrounding the market is a muddle of roads, home to some of the most beautiful preserved architecture of the old Islamic empires. There is a wealth of history here to explore. Visit Al-Azhar Mosque and the dazzling Sultan Hassan Mosque, and make sure you climb to the roof of the ancient medieval gate of Bab Zuweila for the best minaret-speckled panoramas across the district.","['//upload.wikimedia.org/wikipedia/commons/thumb/4/46/Islamic-cairo-street.jpg/660px-Islamic-cairo-street.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Kairo_Ibn_Tulun_Moschee_BW_5.jpg/660px-Kairo_Ibn_Tulun_Moschee_BW_5.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Al-Azhar_%28inside%29_2006.jpg/620px-Al-Azhar_%28inside%29_2006.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/9/93/Flickr_-_HuTect_ShOts_-_Citadel_of_Salah_El.Din_and_Masjid_Muhammad_Ali_%D9%82%D9%84%D8%B9%D8%A9_%D8%B5%D9%84%D8%A7%D8%AD_%D8%A7%D9%84%D8%AF%D9%8A%D9%86_%D8%A7%D9%84%D8%A3%D9%8A%D9%88%D8%A8%D9%8A_%D9%88%D9%85%D8%B3%D8%AC%D8%AF_%D9%85%D8%AD%D9%85%D8%AF_%D8%B9%D9%84%D9%8A_-_Cairo_-_Egypt_-_17_04_2010_%284%29.jpg/620px-thumbnail.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/6/65/Mosque-Madrassa_of_Sultan_Hassan_%284%29.jpg/620px-Mosque-Madrassa_of_Sultan_Hassan_%284%29.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Dome_of_Qaytbay_complex.jpg/620px-Dome_of_Qaytbay_complex.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/0/07/DSC01004-1-2.jpg/620px-DSC01004-1-2.jpg']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d27625.88421805629!2d31.254853448496426!3d30.05878259011135!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x14583f5fea708587%3A0xff2b65411651e622!2sIslamic%20Cairo%2C%20El-Darb%20El-Ahmar%2C%20Cairo%20Governorate%2C%20Egypt!5e0!3m2!1sen!2sin!4v1601553772440!5m2!1sen!2sin,"['Valencia Hotel', 'Le Riad Hotel', 'Cairo Hotel', 'Arabian Nights Hotel', 'Safary Hotel']","['Khan el-Khalili', 'Qaytbay caravansary', 'goodlifetours', 'Museum of Islamic Art Cairo', 'Zuwayla Gate']","['Abo Hashem', 'Fatatry elhosein', '???? ?????', 'Shtat', 'Neaama']",,,
Egypt,Aswan,"
Egypt's most tranquil town is Aswan, set upon the winding curves of the Nile. Backed by orange-hued dunes, this is the perfect place to stop and unwind for a few days and soak up the chilled-out atmosphere. Take the river ferry across to Elephantine Island and stroll the colorful streets of the Nubian villages. Ride a camel to the desert monastery of St. Simeon on the East Bank. Or just drink endless cups of tea on one of the riverboat restaurants, while watching the lateen-sailed feluccas drift past. There are plenty of historic sites here and numerous temples nearby, but one of Aswan's most popular things to do is simply kicking back and watching the river life go by.","['//upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Philae_Island%2C_Aswan.jpg/680px-Philae_Island%2C_Aswan.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/3/36/Aswan_Philae_temple_pavilion.jpg/680px-Aswan_Philae_temple_pavilion.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Aswan%2Cfatimid_cem.jpg/692px-Aswan%2Cfatimid_cem.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/0/00/%D9%85%D8%B9%D8%A8%D8%AF_%D9%81%D9%8A%D9%84%D8%A9_..%D8%A7%D8%B3%D9%88%D8%A7%D9%86.jpg/692px-%D9%85%D8%B9%D8%A8%D8%AF_%D9%81%D9%8A%D9%84%D8%A9_..%D8%A7%D8%B3%D9%88%D8%A7%D9%86.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Aswan_Nubian_Museum_entrance.jpg/692px-Aswan_Nubian_Museum_entrance.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/b/b3/View_from_the_west_bank_to_the_Nile%2C_islands%2C_and_Aswan.jpg/650px-View_from_the_west_bank_to_the_Nile%2C_islands%2C_and_Aswan.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/f/ff/El-Tabia_Mosque_in_Aswan.jpg/627px-El-Tabia_Mosque_in_Aswan.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/b/be/Lotus-tower_near_Aswan.jpg/632px-Lotus-tower_near_Aswan.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Fatimid_Cemetery_at_Aswan.jpg/672px-Fatimid_Cemetery_at_Aswan.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Cimeti%C3%A8res_des_nobles_Qubbet_el-Hawa.jpg/640px-Cimeti%C3%A8res_des_nobles_Qubbet_el-Hawa.jpg']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d29138.08383720914!2d32.88259653797296!3d24.09233360298283!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x14367b5ab1a30e5f%3A0xfb109fe337cabccb!2sAswan%2C%20Aswan%20Governorate%2C%20Egypt!5e0!3m2!1sen!2sin!4v1601553876861!5m2!1sen!2sin,"['Sofitel Legend Old Cataract Aswan', 'M�venpick Resort Aswan', 'TOLIP Hotel Aswan', 'Pyramisa Island Hotel Aswan', 'Marhaba Aswan Hotel']","['Unfinished Obelisk', 'Nubian Museum', 'Aswan Botanical Garden', ""Museu d'Assuan"", '�le Kitchener']","['El Masry', 'Nubian Dream Restaurant and Cafe', 'Salah El Din Restaurant', 'Al Dokka resturant', 'Makani']",,,
Egypt,White Desert,"
Egypt's kookiest natural wonder is the White Desert, where surreally shaped chalk mountains have created what looks like a snowy wonderland in the middle of the arid sand. The landscapes here look like something out of a science fiction movie, with blindingly white boulders and iceberg-like pinnacles. For desert fans and adventurers, this is the ultimate weird playground, while anybody who's had their fill of temples and tombs will enjoy this spectacular natural scenery.","['//upload.wikimedia.org/wikipedia/commons/thumb/5/56/WhiteD1.jpg/620px-WhiteD1.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/f/fb/White-desert-egypt.jpg/700px-White-desert-egypt.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Weisse_W%C3%BCste.jpg/660px-Weisse_W%C3%BCste.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/9/93/El_Alaska_egipcio.jpg/660px-El_Alaska_egipcio.jpg']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3511.356964314834!2d28.849968914409317!3d28.348055582530886!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x145d52ac3f110ed5%3A0x1cc9c33436ddd28f!2sWhite%20Desert!5e0!3m2!1sen!2sin!4v1601553948893!5m2!1sen!2sin,"['badawiya farafra hotel', 'Rahala Safari Hotel', 'The Sunrise Hotel', 'Hotel El waha', '???? ?????']","['White Desert ??????? ???????', 'El Serw Spring (White Desert National Park)', 'Al Aqabat Area', 'Bir Sitta (Well Six)', 'Crystal Mountain']",['D�sert blanc'],,,
Egypt,Siwa Oasis,"
Way out west, Siwa is the tranquil tonic to the hustle of Egypt's cities. This gorgeous little oasis, surrounded by date palm plantations and numerous fresh water springs, is one of the Western Desert's most picturesque spots. The town is centered around the ruins of a vast mud-brick citadel that dominates the view. This is a top spot to wind down and go slow for a few days, as well as being an excellent base from which to plan adventures into the surrounding desert.","['//upload.wikimedia.org/wikipedia/commons/thumb/a/af/%D9%8A%D9%88%D9%85_%D8%AC%D8%AF%D9%8A%D8%AF.jpg/675px-%D9%8A%D9%88%D9%85_%D8%AC%D8%AF%D9%8A%D8%AF.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Siwa_lake.jpg/636px-Siwa_lake.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/5/54/%D8%A8%D9%8A%D9%88%D8%AA.jpg/736px-%D8%A8%D9%8A%D9%88%D8%AA.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Siwa_oasis_-_Egypt.jpg/636px-Siwa_oasis_-_Egypt.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Lake_Aftnas_in_Siwa.jpg/1136px-Lake_Aftnas_in_Siwa.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/2/25/Oase_Siwa.jpg/1220px-Oase_Siwa.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Amun_2010.jpg/620px-Amun_2010.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/0/08/Into_the_dessert_%284%29.jpg/620px-Into_the_dessert_%284%29.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Siwa-Homes2009.jpg/620px-Siwa-Homes2009.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Shali_street_360KB.jpg/690px-Shali_street_360KB.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/4/47/Siwa_Oasis2009b.jpg/620px-Siwa_Oasis2009b.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Mosque_in_Siwa_Oasis_%282007%29.jpg/620px-Mosque_in_Siwa_Oasis_%282007%29.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Oracle_of_Ammun_at_Siwa.jpg/620px-Oracle_of_Ammun_at_Siwa.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Pano_Siwa_depuis_Dakrur-Battesti.jpg/1020px-Pano_Siwa_depuis_Dakrur-Battesti.jpg']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d111443.31518662619!2d25.456796921235583!3d29.205795266259088!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x147aaface8f3a523%3A0x6f335df8f19a074d!2sSiwa%20Oasis%2C%20Siwa%2C%20Matrouh%20Governorate%2C%20Egypt!5e0!3m2!1sen!2sin!4v1601554003275!5m2!1sen!2sin,"['Taziry Ecovillages Siwa', 'Talist Siwa', 'Siwa Oasis Hotel', 'Dream Lodge Hotel', 'Siwa Relax Retreat']","['Shali Fortress', 'Fatnas Island', 'Cleopatra Spring', 'Alexander The Great', 'Gabal Dakrur']","['Kenooz Restaurant', 'Siwa Shali Restaurant', 'Shahrazad Cafe & Restaurant', '?????? Siwa Oasis Egypt', '???? ??? ?????? . ????']",,,
Egypt,Thistlegorm Dive Site,"
Below the Red Sea's surface is another world as fascinating as the temples and tombs on land. Among the many coral reefs off the coast there's also a glut of shipwrecks that have sunk in the Red Sea's Gulf of Gubal and Gulf of Aqaba. Of all the wrecks, the most famous is the Thistlegorm, an English WWII cargo ship that was on its way to resupply British troops when it was bombed by the Germans in 1941. Today the site is regarded by divers as one of the top five wreck dives in the world due to the vast cargo of cars, motorbikes, and WWII memorabilia that can be seen both scattered on the sea bed around the wreck and inside the ship itself. Dive boat trips to the wreck are organized from both Sharm el-Sheikh and Hurghada.","['//upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Thistlegorm_train_parts_minus_red_edit.jpg/600px-Thistlegorm_train_parts_minus_red_edit.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/8/83/ThistlegormLarge.jpg/620px-ThistlegormLarge.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Thistlegorm_gun.jpg/620px-Thistlegorm_gun.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Aft_view_Thistlegorm.jpg/650px-Aft_view_Thistlegorm.jpg']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3528.8733163159122!2d33.918579214394136!3d27.813670082748004!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x14530387931d4f05%3A0x4f7c45c8868b523f!2sSS%20Thistlegorm!5e0!3m2!1sen!2sin!4v1601554124456!5m2!1sen!2sin,"['Horus Guest House Pyramids View', 'Mango Guesthouse', 'Hurghada Marriott Beach Resort', 'Lilly Apartments', 'Marriott Mena House, Cairo']","['Sha`b Abu Nuhas', 'Canyon (Dive & Snorkel Site)', 'Blue Hole', 'Elphinstone Reef', 'Ras Mohamed Nature Reserve']","['Camel Dive Club & Hotel', 'Eagle Divers Egypt', 'Ras Mohamed Nature Reserve']",,,
Kenya,Maasai Mara National Reserve,"
Maasai Mara National Reserve (also Masai Mara) is one of the world's most magnificent game reserves. Bordering Tanzania, the Mara is the northern extension of the Serengeti and forms a wildlife corridor between the two countries. It's named after the statuesque, red-cloaked Maasai people who live in the park and graze their animals here as they have done for centuries. In their language, Mara means mottled, perhaps a reference to the play of light and shadow from the acacia trees and cloud-studded skies on the vast grasslands. The park is famous for the Great Migration, when thousands of wildebeest, zebra, and Thomson's gazelle travel to and from the Serengeti, from July through October. In the Mara River, throngs of hippos and crocodiles lurk. The park is also known for providing excellent predator sightings, thanks to its relatively large populations of lion, cheetah, and leopard - especially in the dry months from December through February. Thanks to the park's altitude, the weather here is mild and gentle year-round.","['//upload.wikimedia.org/wikipedia/commons/b/bd/Maasai-Mara-Typical-Scenery.JPG',' //upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Mara_River_Massai_Mara.jpg/620px-Mara_River_Massai_Mara.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Maasai_Mara_Game_reserve.jpg/620px-Maasai_Mara_Game_reserve.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/8/8a/GnusAndZebrasInMaraMasai.jpg/600px-GnusAndZebrasInMaraMasai.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Cheetah_with_cubs.jpg/600px-Cheetah_with_cubs.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/7/76/Sekenani_Gate.tif/lossy-page1-620px-Sekenani_Gate.tif.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/4/41/Hot_Air_Balloon_Safari_in_Maasai_Mara.jpg/720px-Hot_Air_Balloon_Safari_in_Maasai_Mara.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/5/57/Maasai_Mara_National_Reserve_Kenya.jpg/770px-Maasai_Mara_National_Reserve_Kenya.jpg']",https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3988.674626932224!2d34.93592081399649!3d-1.371911998999417!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x182ce8a64a31fdb1%3A0x296a9587e0c3c410!2sMaasai%20Mara%20National%20Reserve!5e0!3m2!1sen!2sin!4v1601554181586!5m2!1sen!2sin,"['Mara Serena Safari Lodge', 'Angama Mara', 'Mara Engai Wilderness Lodge', 'Mara Eden Safari Camp', 'Governors Il Moran Camp']","['Mara Triangle', 'Maasai Mara National Reserve', 'Olarro Crossing Point', 'Mara Shompole Aitong', 'Hippo Rock Point']",[],,,
