CityName,TouristSpot,Description,Images
England,Stonehenge,"
Stonehenge, 10 miles north of the historic city of Salisbury on Salisbury Plain, is Europe's best-known prehistoric monument. It's so popular that visitors need to purchase a timed ticket in advance to guarantee entry. Exhibitions at the excellent Stonehenge visitor center set the stage for a visit, explaining through audio-visual experiences and more than 250 ancient objects how the megaliths were erected between 3000 and 1500 BC, and sharing information about life during this time. After walking around the various viewing points adjacent to these enormous stones, visit the authentic replicas of Neolithic Houses to see the tools and implements of everyday Neolithic life as volunteers demonstrate skills from 4,500 years ago. Although you can't go inside the circle to wander among the stones during normal opening hours, you can reserve special early morning or late evening access into the circle through English Heritage, which manages the site.","['//upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Stonehenge2007_07_30.jpg/720px-Stonehenge2007_07_30.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Stonehenge_dagger.jpg/620px-Stonehenge_dagger.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Stonehenge_Heel_Stone_-_panoramio_%282%29.jpg/670px-Stonehenge_Heel_Stone_-_panoramio_%282%29.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/5/52/Summer_Solstice_Sunrise_over_Stonehenge_2005.jpg/620px-Summer_Solstice_Sunrise_over_Stonehenge_2005.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Stonehenge_cloudy_sunset.jpg/620px-Stonehenge_cloudy_sunset.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/6/63/Stonehenge_Closeup.jpg/620px-Stonehenge_Closeup.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Stonehenge-Green.jpg/700px-Stonehenge-Green.jpg','//upload.wikimedia.org/wikipedia/commons/thumb/3/35/Stonehenge_on_27.01.08.jpg/620px-Stonehenge_on_27.01.08.jpg']"
England,Tower of London,"
Prison, palace, treasure vault, observatory, and menagerie: the Tower of London has done it all and it's one of the top attractions in London. Widely considered the most important building in England, there's enough to see and do at this World Heritage Site to keep visitors busy for hours. The centerpiece of this Thames-side fortress is the White Tower. Built in 1078 by William the Conqueror, it's home to amazing exhibits, such as Line of Kings, the world's oldest visitor attraction, established in 1652 with a remarkable display of royal armor. Other highlights include the impressive Crown Jewels exhibition, classic Yeoman Warder Tours, the Royal Mint, and exhibits and displays regarding prisoners and executions. All told, the Tower of London covers some 18 acres, so there's a great deal of exploring to do.","['//upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Tower_of_London_from_the_Shard_%288515883950%29.jpg/620px-Tower_of_London_from_the_Shard_%288515883950%29.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Whitetowerlondon.jpg/670px-Whitetowerlondon.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/b/b2/St_John%27s_Chapel%2C_Tower_of_London.jpg/620px-St_John%27s_Chapel%2C_Tower_of_London.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/0/04/Panoramic_view_from_Tower_of_London_cropped.jpg/800px-Panoramic_view_from_Tower_of_London_cropped.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/1/1e/London_Tower_%28CherryX%29.jpg/600px-London_Tower_%28CherryX%29.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/1/18/Panorama_of_the_outer_curtain_wall_of_the_Tower_of_London%2C_2006.jpg/800px-Panorama_of_the_outer_curtain_wall_of_the_Tower_of_London%2C_2006.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Tower_of_London_White_Tower.jpg/600px-Tower_of_London_White_Tower.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/0/06/Tower_of_London_%28Foto_Hilarmont%29.jpg/600px-Tower_of_London_%28Foto_Hilarmont%29.jpg']"
England,The Roman Baths,"
If you only have time to visit one smaller city in England, you couldn't do much better than Bath. This remarkably beautiful city in Somerset boasts more fantastic tourist attractions than you could hope to visit in a day. While most famous for the magnificent 2,000-year-old Roman Baths built around the city's rejuvenating hot springs, it's equally well known for its honey-colored Georgian Townhouses, such as those located on Royal Crescent. Some 500 of the city's buildings are considered of historical or architectural importance, a fact that has resulted in the entire city being granted World Heritage status. Bath makes an ideal location from which to explore some of England's most stunning countryside, including the Avon Valley, the Mendip Hills, and countless other fantastic Somerset landmarks.","['//upload.wikimedia.org/wikipedia/commons/thumb/0/08/Roman_Baths_in_Bath_Spa%2C_England_-_July_2006.jpg/640px-Roman_Baths_in_Bath_Spa%2C_England_-_July_2006.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Bladud_Statue_at_Roman_Baths%2C_Bath.jpg/670px-Bladud_Statue_at_Roman_Baths%2C_Bath.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Bath_abbey_and_roman_baths_arp.jpg/653px-Bath_abbey_and_roman_baths_arp.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/0/07/Roman_Baths%2C_Bath_-_Main_bath.jpg/631px-Roman_Baths%2C_Bath_-_Main_bath.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/2/27/Roman_Baths%2C_Bath_-_Sacred_Spring.jpg/620px-Roman_Baths%2C_Bath_-_Sacred_Spring.jpg','//upload.wikimedia.org/wikipedia/commons/b/b5/Roman_baths_2014_01.jpg']"
England,Lake District National Park,"
Covering some 900 square miles, Lake District National Park is a must-visit destination for travelers to England. With 12 of the country's largest lakes and more than 2,000 miles of rights of way waiting to be explored, there's little wonder the region continues to inspire, with its magnificent views and scenery straight out of a painting. Other things to do include visiting the park's many fells, including Scafell Pike (3,210 feet), the highest mountain in England. Be sure to also spend time exploring some of the lovely little towns and villages dotted throughout the region, such as Grasmere.","['//upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Keswick_Panorama_-_Oct_2009.jpg/690px-Keswick_Panorama_-_Oct_2009.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/b/b6/A591_road%2C_Lake_District_-_June_2009_Edit_1.jpg/620px-A591_road%2C_Lake_District_-_June_2009_Edit_1.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/5/52/Annotated_Scafel_Pike_Panorama.jpg/3000px-Annotated_Scafel_Pike_Panorama.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Wasdale_screes.jpg/1000px-Wasdale_screes.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/7/7a/The_Tongue_Valley_%28looking_from_Dollywaggon_Pike%29%2C_near_Troutbeck%2C_Cumbria%2C_at_the_Lake_District_National_Park%2C_United_Kingdom%2C_Europe_%28November_2008%29.jpg/620px-The_Tongue_Valley_%28looking_from_Dollywaggon_Pike%29%2C_near_Troutbeck%2C_Cumbria%2C_at_the_Lake_District_National_Park%2C_United_Kingdom%2C_Europe_%28November_2008%29.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Scafell_massif.jpg/620px-Scafell_massif.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/3/35/Westmorland_cairn_Great_Gable.jpg/620px-Westmorland_cairn_Great_Gable.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/5/55/Glenridding%2C_Cumbria%2C_England_-_June_2009.jpg/620px-Glenridding%2C_Cumbria%2C_England_-_June_2009.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/3/30/Haweswater_from_Harter_Fell_3.jpg/620px-Haweswater_from_Harter_Fell_3.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Coniston_Water_from_Holme_Fell.jpg/620px-Coniston_Water_from_Holme_Fell.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Derwent_Water%2C_Keswick_-_June_2009.jpg/1200px-Derwent_Water%2C_Keswick_-_June_2009.jpg']"
England,Canterbury Cathedral,"
Located in the heart of the historic city that bears its name, Canterbury Cathedral (a UNESCO World Heritage Site) is home to the Archbishop of Canterbury and is the cradle of English Christianity. It all started when St. Augustine converted the pagan Anglo Saxons here in 597 when he became the first bishop. But there's much more to this beautiful medieval city than just its cathedral. Canterbury is also a popular cultural and entertainment destination with great shopping, galleries, and cafés, as well as attractions such as those focused on Chaucer's medieval England and the city's Roman past. Some of the other best places to visit in Canterbury include the Old City, the ruins of St. Augustine's Abbey, and medieval Beaney House.","['//upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Canterbury-cathedral-wyrdlight.jpg/620px-Canterbury-cathedral-wyrdlight.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/d/da/Canterburycathedralthrone.jpg/670px-Canterburycathedralthrone.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Canterbury_Cathedral_Choir_2%2C_Kent%2C_UK_-_Diliff.jpg/620px-Canterbury_Cathedral_Choir_2%2C_Kent%2C_UK_-_Diliff.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/7/73/TOMB_OF_THE_BLACK_PRINCE%2C_CANTERBURY_CATHEDRAL.jpg/620px-TOMB_OF_THE_BLACK_PRINCE%2C_CANTERBURY_CATHEDRAL.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/3/39/Canterbury_Cathedral_Trinity_Chapel_Stained_Glass%2C_Kent%2C_UK_-_Diliff.jpg/670px-Canterbury_Cathedral_Trinity_Chapel_Stained_Glass%2C_Kent%2C_UK_-_Diliff.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Canterbury_Cathedral_Becket%27s_Crown%2C_Kent%2C_UK_-_Diliff.jpg/670px-Canterbury_Cathedral_Becket%27s_Crown%2C_Kent%2C_UK_-_Diliff.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Canterbury_Cathedral_Cloisters%2C_Kent%2C_UK_-_Diliff.jpg/620px-Canterbury_Cathedral_Cloisters%2C_Kent%2C_UK_-_Diliff.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/3/36/CANTERBURY_CATHEDRAL_GLASS_C7471.jpg/620px-CANTERBURY_CATHEDRAL_GLASS_C7471.jpg']"
England,Eden Project,"
The incredible Eden Project is a collection of unique artificial biomes containing an amazing collection of plants from around the world. Located in a reclaimed quarry in Cornwall, this spectacular botanical gardens complex consists of huge domes that look rather like massive igloo-shaped greenhouses. Each of these impressive (and futuristic-looking) buildings houses thousands of different plant species in tropical and Mediterranean environments. As well as these stunning displays of plant life, the Eden Project hosts numerous arts and music events year-round. If you're able to extend your visit, consider booking a stay at the on-site hostel, or enjoy a meal in one of its restaurants. Adventure activities such as ziplining and giant swings are also available.","['//upload.wikimedia.org/wikipedia/commons/7/75/Eden_project.JPG', '//upload.wikimedia.org/wikipedia/commons/thumb/4/47/Equus_eden.jpg/220px-Equus_eden.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Grasswoman_eden.jpg/620px-Grasswoman_eden.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Eden_Project_geodesic_domes_panorama.jpg/860px-Eden_Project_geodesic_domes_panorama.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/a/a2/The_Tropical_Biome.jpg/620px-The_Tropical_Biome.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Eden_Project_-_tropical_canopy.jpg/600px-Eden_Project_-_tropical_canopy.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/b/b1/EdenProjectRoof.jpg/600px-EdenProjectRoof.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/0/03/Cornwall%2C_eden_project_tropical.jpg/620px-Cornwall%2C_eden_project_tropical.jpg']"
England,The Cotswolds,"
The Cotswolds cover some 787 square miles and encompass parts of some of England's prettiest counties: Gloucestershire, Oxfordshire, Wiltshire, Somerset, Worcestershire, and Warwickshire. And all of it begs to be explored. Designated an Area of Outstanding Natural Beauty due to its rare limestone grassland habitats and old-growth beech woodlands, the beauty of the Cotswolds has much to do with its quaint villages and towns, such as Castle Combe, Chipping Norton, and Tetbury. Like so much of England, the Cotswolds is perfect to discover on foot. One of the best routes is along the Cotswold Way, a 102-mile footpath with spectacular views of the Severn Valley and the Vale of Evesham. This route runs the length of the Cotswolds, and can be picked up pretty much anywhere you visit.","['//upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Castle_combe_cotswolds.jpg/684px-Castle_combe_cotswolds.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/2/24/Bibury_Cottages_in_the_Cotswolds_-_June_2007.jpg/620px-Bibury_Cottages_in_the_Cotswolds_-_June_2007.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Broadway_row_b_8294.jpg/620px-Broadway_row_b_8294.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/2/22/Broadway_row_houses_b_8302.jpg/620px-Broadway_row_houses_b_8302.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Thatch_and_slate_roof%2C_Stretton-on-Fosse%2C_Cotswolds_165445.jpg/620px-Thatch_and_slate_roof%2C_Stretton-on-Fosse%2C_Cotswolds_165445.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Cotswolds_Panorama_Fields.jpg/880px-Cotswolds_Panorama_Fields.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Sudeley_Castle_Secret_Garden.jpg/670px-Sudeley_Castle_Secret_Garden.jpg']"
France,Eiffel Tower,"
The symbol of Paris, the Eiffel Tower is a feat of ingenuity as much as it is a famous landmark. This structure of 8,000 metallic parts was designed by Gustave Eiffel as a temporary exhibit for the World Fair of 1889. Originally loathed by critics, the 320-meter-high tower is now a beloved and irreplaceable fixture of the Paris skyline. The Eiffel Tower's gracefulness has earned it the nickname of Iron Lady. Visitors are impressed by the tower's delicate airiness despite its monumental size and the breathtaking panoramas at each of the three levels. Tourists can dine with a view at the first level or indulge at the Michelin-starred Le Jules Verne restaurant on the second level. At the exhilarating height of 276 meters, the top level offers a sweeping outlook over the city of Paris and beyond. Vistas extend as far as 70 kilometers on a clear day.","['//upload.wikimedia.org/wikipedia/commons/thumb/8/85/Tour_Eiffel_Wikimedia_Commons_%28cropped%29.jpg/640px-Tour_Eiffel_Wikimedia_Commons_%28cropped%29.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Eiffel_Tower_Uploaded_by_Argonowski.jpg/600px-Eiffel_Tower_Uploaded_by_Argonowski.jpg','//upload.wikimedia.org/wikipedia/commons/7/79/Tour_Eiffel_09.jpg','//upload.wikimedia.org/wikipedia/commons/4/44/Eiffel_Tower_and_Front_de_Seine_quarter_from_Pont_Mirabeau%2C_12_April_2014.jpg','//upload.wikimedia.org/wikipedia/commons/d/d4/Ajfelov_toranj_noću.jpg','//upload.wikimedia.org/wikipedia/commons/d/d8/Eiffel_Tower%2C_November_15%2C_2011.jpg']"
France,Louvre Museum,"
In a stately palace that was once a royal residence, the Louvre ranks among the top European collections of fine arts. Many of Western Civilization's most famous works are found here, including the Mona Lisa by Leonardo DaVinci, the Wedding Feast at Cana by Veronese, and the 1st-century-BC Venus de Milo sculpture. The collection owes its wealth to the contributions of various kings who lived in the Louvre. Other pieces were added as a result of France's treaties with the Vatican and the Republic of Venice, and from the spoils of Napoléon I. The Louvre has an astounding collection of 35,000 artworks, including countless masterpieces.","['//upload.wikimedia.org/wikipedia/commons/thumb/6/66/Louvre_Museum_Wikimedia_Commons.jpg/720px-Louvre_Museum_Wikimedia_Commons.jpg','//upload.wikimedia.org/wikipedia/commons/c/cd/Donjon_chateau_louvre.JPG','//upload.wikimedia.org/wikipedia/commons/1/19/Louvre_Grab.JPG', '//upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Louvre_Courtyard%2C_Looking_West.jpg/805px-Louvre_Courtyard%2C_Looking_West.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Paris_July_2011-27a.jpg/812px-Paris_July_2011-27a.jpg', '//upload.wikimedia.org/wikipedia/en/thumb/4/42/Louvre_Pyramid.jpg/720px-Louvre_Pyramid.jpg']"
France,Palace of Versailles,"
More than just a royal residence, Versailles was designed to show off the glory of the French monarchy. Sun King Louis XIV transformed his father's small hunting lodge into an opulent palace with a sumptuous Baroque interior. The palace became Louis XIV\'s symbol of absolute power and set the standard for princely courts in Europe. Architect Jules Hardouin-Mansart created the elegant Baroque facade and lavish interior of the Château de Versailles, which is designated as a UNESCO World Heritage Site. The most emblematic space in the castle is the Hall of Mirrors, where courtiers waited for an audience with His Majesty. This dazzling hall sparkles with sunlight that enters through the windows and is reflected off massive ornamental mirrors. Versailles is equally renowned for Les Jardins, formal French gardens featuring decorative pools, perfectly trimmed shrubbery, and magnificent fountains. The gardens were created in the 17th century by renowned landscape designer André Le Nôtre and are surrounded by 800 hectares of lush parkland. Beyond the formal gardens is the Domaine de Trianon, which includes Le Grand Trianon palace; Le Petit Trianon château; and Le Hameau de la Reine, Marie-Antoinette's fabricated pastoral village featuring quaint rustic buildings set around a lake. Marie-Antoinette's hamlet originally had a working dairy and farm. This idyllic spot was designed as a place for Marie-Antoinette to escape court life and spend time with her children. Marie-Antoinette also came here for walks and to visit with friends. The hamlet is one of the best places to visit at the Château de Versailles to get a glimpse of the private world of Marie-Antoinette.","['//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Versailles-Chateau-Jardins02_%28cropped%29.jpg/600px-Versailles-Chateau-Jardins02_%28cropped%29.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Chateau_Versailles_Galerie_des_Glaces.jpg/600px-Chateau_Versailles_Galerie_des_Glaces.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/b/be/Gardens_of_Versailles_%E5%87%A1%E7%88%BE%E8%B3%BD%E8%8A%B1%E5%9C%92_-_panoramio.jpg/600px-Gardens_of_Versailles_%E5%87%A1%E7%88%BE%E8%B3%BD%E8%8A%B1%E5%9C%92_-_panoramio.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Cour_de_Marbre_du_Ch%C3%A2teau_de_Versailles_October_5%2C_2011.jpg/652px-Cour_de_Marbre_du_Ch%C3%A2teau_de_Versailles_October_5%2C_2011.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/9/96/Vue_a%C3%A9rienne_du_domaine_de_Versailles_par_ToucanWings_001.jpg/620px-Vue_a%C3%A9rienne_du_domaine_de_Versailles_par_ToucanWings_001.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Palace_of_Versailles_%285987331118%29.jpg/673px-Palace_of_Versailles_%285987331118%29.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Versaillespanoraama2.jpg/1088px-Versaillespanoraama2.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/b/be/Peter_Stehlik_2013.04.22_Panorama_1A.jpg/1384px-Peter_Stehlik_2013.04.22_Panorama_1A.jpg','//upload.wikimedia.org/wikipedia/commons/a/a5/Grand_Trianon_Péristyle.JPG']"
France,Mont Saint Michel,"
Rising dramatically from a rocky islet off the Normandy coast, the UNESCO-listed Mont Saint-Michel is one of France's most striking landmarks. This Pyramid of the Seas is a mystical sight, perched 80 meters above the bay and surrounded by imposing defensive walls and bastions. The main tourist attraction, the Abbaye de Saint-Michel is a marvel of medieval architecture with soaring Gothic spires. Visitors are awed by the serene beauty of the Abbey Church, with its harmonious Romanesque nave and ornate high-vaulted choir. Since it was built in the 11th century, the Abbey Church has been an important Christian pilgrimage destination, known as The Heavenly Jerusalem. Modern-day pilgrims are still inspired by Mont Saint-Michel and continue the tradition of crossing the bay by foot as it was done in the Middle Ages.","['//upload.wikimedia.org/wikipedia/commons/thumb/2/29/Mont-Saint-Michel_Drone.jpg/670px-Mont-Saint-Michel_Drone.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/3/3c/MtStMichel_avion.jpg/620px-MtStMichel_avion.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/1/19/Mont_St_Michel_in_2018.jpg/720px-Mont_St_Michel_in_2018.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Mont-Saint-Michel_-_Novembre_2011_%2824%29.jpg/620px-Mont-Saint-Michel_-_Novembre_2011_%2824%29.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/4/45/Normandie_Manche_Mont1_tango7174.jpg/620px-Normandie_Manche_Mont1_tango7174.jpg','//upload.wikimedia.org/wikipedia/commons/a/a8/Mont-Saint-Michel_2008_PD_32.JPG']"
