CityName,TouristSpot,Description,Images
France,Provence,"
Provence is a gorgeous landscape of olive groves, sun-drenched rolling hills, and deep purple lavender fields, with little villages nestled in the valleys and perched on rocky outcrops. The vibrant scenery has enchanted many famous artists, including Cézanne, Matisse, Chagall, and Picasso. The rustic natural beauty and country charm of Provence immerses visitors in a place where the art de vivre is a way of life. Sultry weather encourages leisurely strolls along cobblestone streets and afternoons spent on sunny terraces of outdoor cafés. Provence is also a region known for its delicious cuisine, which is based on olive oil, vegetables, and aromatic herbs. The quintessential Provençal town, Aix-en-Provence is famous for its colorful open-air markets and the hundreds of fountains that are  typical of southern France. Fascinating ancient ruins and traditional festivals distinguish the town of Arles. The medieval city of Avignon is home to the UNESCO-listed Palais de Papes. Even tiny villages, like Saint-Paul-de-Vence, Saint-Rémy, and Gordes, have amazing historic sites, fantastic museums, and an irresistibly quaint ambience.","['//upload.wikimedia.org/wikipedia/commons/thumb/0/03/Lavender_field_and_Mont_Ventoux.jpg/650px-Lavender_field_and_Mont_Ventoux.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/0/04/Calanque_de_Morgiou_2.jpg/620px-Calanque_de_Morgiou_2.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Trarch_Orange.jpg/620px-Trarch_Orange.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/7/77/FranceArlesArenes_07-2013.jpg/620px-FranceArlesArenes_07-2013.jpg','//i.pinimg.com/originals/ae/16/bf/ae16bfdedcb630bd0a051e5ae954455c.jpg']"
France,Chamonix-Mont-Blanc,"
The awesome spectacle of Mont Blanc in the French Alps is an unforgettable sight. The highest mountain peak in Europe, Mont Blanc soars to 4,810 meters. Thanks to its elevation, Mont Blanc (White Mountain) is always blanketed in snow. Beneath its heavenly peak is the traditional alpine village of Chamonix, nestled in a high-mountain valley. This quaint little town is filled with historic churches, cozy chalet restaurants, and charming auberges. Chamonix is a great base for skiing, hiking, rock climbing, and outdoor adventures, or just relaxing.","['//upload.wikimedia.org/wikipedia/commons/1/1f/Chamonix_valley_from_la_Flégère%2C2010_07.JPG','//upload.wikimedia.org/wikipedia/commons/5/51/Chamonix_panorama_Aiguille_du_Midi.jpeg',//upload.wikimedia.org/wikipedia/commons/thumb/1/1e/The_Saussure_monument%2C_Chamonix.jpg/670px-The_Saussure_monument%2C_Chamonix.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Aiguille_du_Dru_in_2006.jpg/690px-Aiguille_du_Dru_in_2006.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/4/49/GrandesJorasses.jpg/690px-GrandesJorasses.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/2/28/Mbcourmayeur0001.jpg/690px-Mbcourmayeur0001.jpg']"
France,Alsace Villages,"
Some of the prettiest villages in France are tucked away in the green, rolling hills of Alsace, where the Vosges Mountains border the Rhine River of Germany. These picturesque Alsatian villages feature pastel-painted, half-timbered houses clustered around small parish churches. Cheerful flowering balconies and pedestrian cobblestone streets add to the appeal. Many of the villages have won France's Villages Fleuris award for their lovely floral decorations, such as Obernai, with its characteristic burghers' houses; the charming little village of Ribeauvillé, where many homes are adorned with potted flowers; the town of art and history Guebwiller; and the captivating medieval village of Bergheim. Other flower-bedecked Alsatian villages are so pretty that they have been designated as both Villages Fleuris and Plus Beaux Villages de France (Most Beautiful Villages of France), including the storybook hamlet of Riquewihr, with its quaint historic houses, and the enchanting village of Eguisheim, nestled in a valley. Another Most Beautiful Village is Mittelbergheim, known for its gastronomy and gorgeous pastoral landscape, at the foot of the verdant Mont Saint-Odile. For those planning an Alsace vacation itinerary, Colmar is a good base to explore the Alsatian villages and surrounding nature trails.","['//upload.wikimedia.org/wikipedia/commons/thumb/8/85/View_of_%C3%89glise_Saint-Martin_%2843833049001%29.jpg/648px-View_of_%C3%89glise_Saint-Martin_%2843833049001%29.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/f/f8/1138357639_3c5c483074_o_Haut_Koenigsbourg_CC_by_Fr_Antunes.jpg/698px-1138357639_3c5c483074_o_Haut_Koenigsbourg_CC_by_Fr_Antunes.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/4/46/Riquewihr_Dolder.jpg/698px-Riquewihr_Dolder.jpg','//upload.wikimedia.org/wikipedia/commons/5/5e/Barr_Place_de_l%27Hôtel_de_ville.JPG','//upload.wikimedia.org/wikipedia/commons/9/90/Barr_%28Bas-Rhin%29_Rue_typique.JPG']"
Finland,Suomenlinna Fortress,"
One of the world's largest sea fortresses, the 18th-century fort on Suomenlinna is a 15-minute ferry ride from Helsinki's Market Square (a mini-cruise that has lovely views of the city as a bonus attraction). Once here, you could easily fill a day with its sights and activities. The impressive fortifications, now a UNESCO World Heritage Site, were built in 1847 by the Swedes (Finland was Swedish territory then) to scare off the Russians; they weren't scared and later captured both the fort and Finland. Begin with the audio-visual experience in the visitor center (it's in English) for a lively history, then explore its ramparts, tunnels, and museums and walk the trails around the beautiful island. Or sign up here for a guided walk to learn more about the fort and its various attractions. Among these are the 250-ton Vesikko submarine, used by the Finnish Navy from 1936 until the end of World War II. The Ehrensvärd Museum illustrates the earliest Swedish period, and the Doll and Toy Museum displays dolls, dollhouses, and toys in an old Russian villa. Various buildings house studios and shops of glassblowers, potters, and other craftsmen, and in the summer, you can stay for evening dance and musical performances of the Suomenlinna Summer Theatre.","['//upload.wikimedia.org/wikipedia/commons/thumb/d/da/Suomenlinna.jpg/640px-Suomenlinna.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Suomenlinna_merelt%C3%A4_5.jpg/660px-Suomenlinna_merelt%C3%A4_5.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/2/27/Guns_of_Suomenlinna.jpg/620px-Guns_of_Suomenlinna.jpg','//upload.wikimedia.org/wikipedia/commons/a/af/Suomenlinna_aerial.JPG']"
Finland,Rovaniemi,"
The Arctic Circle runs across northern Finland, right through the town of Rovaniemi, giving it claim to being the Gateway to the Arctic. In the summer, this means the famous Midnight Sun. While the sun only stays above the horizon for a full 24 hours in Rovaniemi on the summer solstice in late June, from late May to early August it never drops far enough for it to get dark. Locals are out enjoying their great outdoors throughout these White Nights and welcome tourists to join them. Rovaniemi is in the center of a vast natural area of rushing rivers for canoeing, swimming, or fishing, with trails alongside them for hiking and cycling. The city is best known (ask any Finnish child) as the home of Santa Claus, right astride the Arctic Circle at Santa Claus Village. You can meet reindeer here or visit a Sami reindeer farm. To learn more about the Lapland culture and about the natural history, meteorology and geology of the Arctic, visit the stunning Arktikum Science Museum. In the winter, this region is a paradise for skiers and others who love snow and ice sports. You can ride across frozen lakes and visit Sami villages on a dogsled safari, learn to drive your own reindeer sled, snowshoe or cross-country ski for miles, and watch the spectacular Northern Lights. Downhill skiers head about 170 kilometers north to Levi, a center for all winter recreation, with miles of scenic Nordic ski trails, lighted for night skiing. So are the pistes and slopes of Finland's largest downhill ski area. Many hotels have rooms with glass ceilings, so you can watch the Northern Lights from inside.","['//upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Rovaniemi_Montage.jpg/650px-Rovaniemi_Montage.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Rovaniemi_06101999_rescanned.jpg/600px-Rovaniemi_06101999_rescanned.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Tk3_1147_in_Rovaniemi_20120210_01.jpg/660px-Tk3_1147_in_Rovaniemi_20120210_01.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Rovaniemi1.jpg/660px-Rovaniemi1.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Santa_Claus_Village_20170201.jpg/660px-Santa_Claus_Village_20170201.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Rovaniemi_-_Aurora_Borealis.jpg/670px-Rovaniemi_-_Aurora_Borealis.jpg']"
Finland,Northern Lights,"
For most people, seeing the Northern Lights is a once-in-a-lifetime treat. Finland is perhaps the top country in the world for seeing these blazing curtains of light drape across the sky. Although, at times, the lights can be seen even in the southern most regions of the nation, the best place to see them is in the region close to or north of the Arctic Circle. Here, between September and March, visitors are almost guaranteed a show if the sky is clear. A wide range of hotels in the north cater specifically to people wanting to see the lights. Also, the Finnish Meteorological Institute allows you to sign up for free Northern Lights email alerts.","['//upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Polarlicht_2.jpg/600px-Polarlicht_2.jpg','//upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Virmalised_18.03.15_%284%29.jpg/622px-Virmalised_18.03.15_%284%29.jpg','//wikitravel.org/upload/shared//3/3c/Northern_Lights_Banner.jpg','//wikitravel.org/upload/shared//0/08/Aurora_finland.jpg','//wikitravel.org/upload/shared//b/bc/Sirkelovertoppene.jpg']"
Finland,Turku Castle,"
The southwestern Finnish town of Turku, the country's oldest town and until 1812 its capital, lies on the Gulf of Bothnia, at the mouth of the Aurajoki River. Turku lies in the area where the successors to the Swedish Vikings landed in the 12th century and set out to conquer what is now Finland. With eight centuries of history, it is today the most traditional medieval town in Finland, but in addition to its outstanding medieval buildings, you'll find examples of Art Nouveau and modern architecture, such as the Sibelius Museum, by Woldemar Baeckman. The river is a focal point for the city, lined with historic boats, some of which have been converted into restaurants. In the summer, locals gather along its banks in the evening and in the winter, it becomes a giant skating rink. On the northeast side of the river is the commercial center with the Kaupatori (market square) shopping center and lovely Orthodox Church. On the opposite bank the medieval cathedral, consecrated in 1290, rises above the Old Great Square. It is a massive brick church in Late Romanesque style with Gothic and Renaissance additions and a massive 97-meter-high tower, which dominates the city. During the midsummer Medieval Festival, the old square's ensemble of historic buildings regains its medieval air with craft stalls and food vendors. Just down from the cathedral along the river, two old sailing ships are moored — the ""Suomen Joutsen,"" now a training school for seamen, and the ""Sigyn,"" the last remaining wooden barque used for sea trade. Both are open to the public in summer. Nearer the harbor is Turku Castle, built around 1300 on what was then an island at the mouth of the river. It was enlarged in the 16th to 17th century and now houses the Turku Historical Museum. For a look at what Turku looked like in the early 1800s, stroll through the streets of the Luostarinmäki Handicrafts Museum, an entire neighborhood of 40 homes, the only ones saved in the fire that destroyed Turku in 1827. Preserved as a museum village, its homes and workshops now house artisans who demonstrate period crafts.","['//upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Turkucastle_edit.jpg/640px-Turkucastle_edit.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Turku_Castle_bailey.jpg/620px-Turku_Castle_bailey.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/d/da/Castle_of_Turku%2C_courtyard_renaissance_part.jpg/620px-Castle_of_Turku%2C_courtyard_renaissance_part.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Castle_of_Turku%2C_larger_room.jpg/620px-Castle_of_Turku%2C_larger_room.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Pulpit%2C_Turunlinna.jpg/690px-Pulpit%2C_Turunlinna.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Turku_castle_inside_2.jpg/620px-Turku_castle_inside_2.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Entering_the_Turku_castle.jpg/690px-Entering_the_Turku_castle.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Turku_Castle_1.jpg/620px-Turku_Castle_1.jpg']"
Finland,Porvoo,"
The country's second oldest town, Porvoo, is 48 kilometers east of Helsinki. It rises from a picturesque riverfront lined with little red wooden buildings, through a charming tangle of old streets and ochre-colored wooden houses to its hilltop medieval cathedral. Highlights here are the ornate 1764 pulpit and wall paintings from the 15th century. Between the river and the hilltop cathedral is the Market Square with two museums worth visiting. One has exhibits on local history and the other, the Edelfelt-Vallgren Museum, is of particular interest to those fascinated by the Art Nouveau movement. It features the furniture, ceramics, and other works of several artists who formed an art colony here at the turn of the 20th century. Porvoo is still known for its fine crafts, so allow time for browsing the shops and studios. In the summer, you can visit Porvoo from Helsinki by boat.","['//upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Porvoo_in_January.jpg/650px-Porvoo_in_January.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Porvoo_Old_Town_Hall.jpg/620px-Porvoo_Old_Town_Hall.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Porvoon_Tuomiokirkko.jpg/620px-Porvoon_Tuomiokirkko.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/7/73/Barns_on_the_shore_of_the_river.jpg/620px-Barns_on_the_shore_of_the_river.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/0/09/View_from_N%C3%A4si_glacial_erratic_2.jpg/620px-View_from_N%C3%A4si_glacial_erratic_2.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/5/52/Porvoo_new_housing.jpg/620px-Porvoo_new_housing.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/1/11/Jackarby_Manor%2C_Borg%C3%A5%2C_Finland.jpg/620px-Jackarby_Manor%2C_Borg%C3%A5%2C_Finland.jpg']"
Finland,Castle Olavinlinna,"
The entire eastern portion of Finland is more sea than land. With literally tens of thousands of lakes, rivers, marshes, and ponds, eastern Finland is a fabulous aquatic playground. The dominant lake of the region is massive Lake Saimaa, the lake of a thousand islands. Lake Saimaa itself has an area of some 1,300 square kilometers — excluding its numerous islands. The whole lake system is drained by the river Vuoksi, which leaves Lake Saimaa to the north of the town of Imatra and flows into Lake Ladoga in Russia. The hilly shores of the lake and most of the islands are almost entirely covered with coniferous forest, with some birch forest farther north. Savonlinna is the main city of Finland's lake region. A popular spa and holiday resort, Savonlinna grew up around Olavinlinna Castle, begun in 1475 and Europe's northernmost medieval stone fortress still standing. The castle, which has been beautifully restored, contains a number of handsome rooms, among them the King's or Knights' Hall, the Congress Hall, and the Great Hall. Three massive round towers have survived, and in one of them, the Church Tower, is a small chapel. In the Great Bastion is a summer café. East of Savonlinna lies Kerimäki and the largest wooden church in the world. A must do when in the lake region are the boat cruises. From Savonlinna, there are boat trips to the other towns on Lake Saimaa, to Punkaharju, with the Retretti Art Center, the largest in the Nordic countries, to the monasteries of Uusi Valamo and Lintula. Another day trip option is a cruise down the Saimaa Canal to Vyborg in Russia on the Baltic Sea.","['//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Olavinlinna_Savonlinna_Finland.jpg/665px-Olavinlinna_Savonlinna_Finland.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Olavinlinna2.jpg/620px-Olavinlinna2.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/9/97/Olavinlinna_y%C3%B6valaistuksessa.jpg/657px-Olavinlinna_y%C3%B6valaistuksessa.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/9/91/Olavinlinna_Interior.jpg/657px-Olavinlinna_Interior.jpg']"
Finland,Hameenlinna,"
Like many Finnish towns, Hämeenlinna began near a castle, in this case the 13th-century Tavastehus Castle. Its distinctive red-brick fortifications top the list of places to see in Hameenlinna. The other place you shouldn't miss seeing is Aulanko Nature Reserve. Part garden park, part forest reserve, it is the first National Urban Park in Finland. The English-style park was constructed between 1883 and 1938, and in addition to hiking its well-kept trails among exotic and native trees, you can climb the 30-meter-tall granite tower on Aulangonvuori Hill for views across a typical Finnish forest and lake landscape. More than 50 different species of trees and shrubs are identified along the nature trail round Lake Joutsenlampi. Two historic pavilions and the ruins of a late 19th-century castle are also in the park. Hämeenlinna was the birthplace of the Finnish composer Jean Sibelius (1865-1957) and north of the market Square is the Sibelius Museum; a little bit farther on is the Sibelius Park and the nearby Hämeenlinna Historical Museum.","['//upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Lento_13.12.2007_070.jpg/650px-Lento_13.12.2007_070.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/0/03/Hameenlinna_Sibelius_House_1.jpg/620px-Hameenlinna_Sibelius_House_1.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Hameenlinna_lake_vanajavesi.jpg/620px-Hameenlinna_lake_vanajavesi.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/f/f4/October_sunset_-_H%C3%A4meenlinna.jpg/620px-October_sunset_-_H%C3%A4meenlinna.jpg','//upload.wikimedia.org/wikipedia/commons/d/d6/Hameenlinna.JPG']"
Italy,Colosseum,"
For travelers making their way through Italy, the Colosseum is a must see. This huge Amphitheater is the largest of its kind ever built by the Roman Empire and has remained a model for sports facilities right up to modern times. Built as a venue for public spectacles and shows - even mock sea battles, it had a wooden floor that was 83 by 48 meters. Underneath it were two stories of tunnels, rooms, cells, and passages for gladiators, workers, wild animals, and storage. Today, the structure stands in stark contrast to the modern development that surrounds it and is a prominent reminder of ancient times and the extensive history of Rome.","['//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Colosseum_in_Rome%2C_Italy_-_April_2007.jpg/650px-Colosseum_in_Rome%2C_Italy_-_April_2007.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Roma06%28js%29.jpg/635px-Roma06%28js%29.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/7/74/Colosseo_2008.jpg/620px-Colosseo_2008.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/1/12/Colosseum_exterior%2C_inner_and_outer_wall_AvL.jpg/620px-Colosseum_exterior%2C_inner_and_outer_wall_AvL.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Rome_%2829096723%29.jpg/620px-Rome_%2829096723%29.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/1/15/Photo_of_The_Colosseum_in_Rome%2C_Italy.jpg/640px-Photo_of_The_Colosseum_in_Rome%2C_Italy.jpg']"
Italy,Venice Canals,"
A gondola ride through the canals of Venice is a tradition that travelers have been enjoying for centuries. Venice is a city of islands, and the canals have long been the city's main streets, connected by a labyrinth of narrow passageways. Lining the canals are old buildings that have remained relatively unchanged for hundreds of years, adding to the romantic charm. The Grand Canal is the most famous of these waterways and one of the most photographed sites in Venice. The best way to see many of the grand palaces, whose fronts face the water, is from a Vaporetto ride along the Grand Canal.","['//i.pinimg.com/originals/55/5b/fa/555bfa0849ac8e663e83d53a30e6fbbe.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/5/51/View_of_the_Grand_Canal_from_Rialto_to_Ca%27Foscari.jpg/620px-View_of_the_Grand_Canal_from_Rialto_to_Ca%27Foscari.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Canal_Grande_Panorama2.jpg/1076px-Canal_Grande_Panorama2.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Canal_Grande_-_Venice%2C_Italy_-_April_18%2C_2014_04.jpg/763px-Canal_Grande_-_Venice%2C_Italy_-_April_18%2C_2014_04.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/a/af/Rialto_Gondoliers.jpg/658px-Rialto_Gondoliers.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/0/09/Venedig_panorama_Canale_Grande.jpg/610px-Venedig_panorama_Canale_Grande.jpg', '//upload.wikimedia.org/wikipedia/commons/thumb/a/a3/1_venice_grand_canal_rialto_bridge_2012.jpg/870px-1_venice_grand_canal_rialto_bridge_2012.jpg']"
